Lito,Depth,BVTX,AVTX,RxoRt,CILD,RLL3,SP,RILD,RILM,DCAL,RHOB,RHOC,DPOR,CNLS,GR,MCAL,MI,MN,DT,ITT,SPOR
NA,241.0000,0.0000,0.0000,-1.4529,165.2268,6.2725,-85.3927,6.0523,5.3276,8.4801,2.2452,0.0867,27.1842,40.8238,93.6810,-999.2500,-999.2500,-999.2500,153.8450,0.0000,75.1379
NA,241.5000,0.0000,0.0000,-1.8115,164.7410,6.4219,-86.1480,6.0701,5.3560,8.4796,2.2505,0.0846,26.8686,41.0301,91.1830,-999.2500,-999.2500,-999.2500,153.6601,0.0000,75.0071
NA,242.0000,0.0000,0.0000,-1.9765,164.6214,6.5108,-86.1832,6.0745,5.3636,8.4796,2.2535,0.0813,26.6959,40.4236,88.0415,-999.2500,-999.2500,-999.2500,153.5537,0.0000,74.9319
NA,242.5000,0.0000,0.0000,-1.8849,164.8707,6.4415,-85.6801,6.0654,5.3435,8.4802,2.2526,0.0758,26.7514,38.9786,87.2968,-999.2500,-999.2500,-999.2500,153.5366,0.0000,74.9198
NA,243.0000,0.0000,0.0000,-1.5711,165.3127,6.3021,-84.9313,6.0491,5.3008,8.4807,2.2477,0.0682,27.0357,37.7790,89.4837,-999.2500,-999.2500,-999.2500,153.6110,0.0000,74.9725
NA,243.5000,0.0000,0.0000,-1.2043,165.8038,6.1744,-84.1879,6.0312,5.2491,8.4802,2.2409,0.0604,27.4342,37.6327,92.9626,-999.2500,-999.2500,-999.2500,153.7676,1.0000,75.0832
NA,244.0000,0.0000,0.0000,-1.0182,166.4270,6.0801,-83.6047,6.0086,5.2011,8.4798,2.2349,0.0551,27.7822,39.5267,95.7657,-999.2500,-999.2500,-999.2500,153.9577,1.0000,75.2176
NA,244.5000,0.0000,0.0000,-1.1685,167.4675,6.0855,-83.2643,5.9713,5.1607,8.4809,2.2323,0.0539,27.9361,42.8352,95.3859,-999.2500,-999.2500,-999.2500,154.1164,0.0000,75.3299
NA,245.0000,0.0000,1.0000,-1.5942,169.1036,6.1987,-83.2018,5.9135,5.1220,8.4918,2.2336,0.0557,27.8618,44.3141,93.2947,-999.2500,-999.2500,-999.2500,154.2274,0.0000,75.4083
NA,245.5000,0.0000,0.0000,-2.0473,171.1861,6.2463,-83.3981,5.8416,5.0770,8.5344,2.2363,0.0580,27.6999,41.9401,92.5395,-999.2500,-999.2500,-999.2500,154.3463,0.0000,75.4924
NA,246.0000,0.0000,0.0000,-2.3017,173.3543,6.1726,-83.7693,5.7685,5.0240,8.5860,2.2370,0.0588,27.6617,37.5939,90.2985,-999.2500,-999.2500,-999.2500,154.5520,0.0000,75.6379
NA,246.5000,0.0000,0.0000,-2.3070,175.2224,6.0504,-84.1867,5.7070,4.9685,8.6061,2.2341,0.0579,27.8307,34.4753,87.1100,-999.2500,-999.2500,-999.2500,154.8719,0.0000,75.8642
NA,247.0000,0.0000,0.0000,-2.1850,176.5958,5.9290,-84.5244,5.6626,4.9177,8.6194,2.2292,0.0558,28.1148,33.7820,88.7773,-999.2500,-999.2500,-999.2500,155.2550,0.0000,76.1351
NA,247.5000,0.0000,0.0000,-2.1276,177.6860,5.8877,-84.7001,5.6279,4.8739,8.6618,2.2250,0.0539,28.3631,34.7956,91.3258,-999.2500,-999.2500,-999.2500,155.6129,0.0000,76.3882
NA,248.0000,0.0000,0.0000,-2.2388,178.9031,5.9194,-84.6922,5.5896,4.8344,8.7121,2.2232,0.0535,28.4675,36.7724,92.1933,-999.2500,-999.2500,-999.2500,155.8827,0.0000,76.5790
NA,248.5000,0.0000,0.0000,-2.4599,180.4201,5.9368,-84.5333,5.5426,4.7963,8.7538,2.2243,0.0559,28.4049,38.7155,89.9742,-999.2500,-999.2500,-999.2500,156.0488,0.0000,76.6964
NA,249.0000,0.0000,0.0000,-2.6579,182.0347,5.8992,-84.2926,5.4935,4.7610,8.7714,2.2270,0.0612,28.2474,39.9025,84.6741,-999.2500,-999.2500,-999.2500,156.1228,0.0000,76.7488
NA,249.5000,0.0000,0.0000,-2.7502,183.3326,5.8417,-84.0515,5.4546,4.7340,8.7743,2.2296,0.0679,28.0914,41.2218,83.7934,-999.2500,-999.2500,-999.2500,156.1209,0.0000,76.7474
NA,250.0000,0.0000,0.0000,-2.7572,183.9835,5.7946,-83.8775,5.4353,4.7223,8.7742,2.2320,0.0742,27.9533,41.6818,86.7415,-999.2500,-999.2500,-999.2500,156.0605,1.0000,76.7047
NA,250.5000,0.0000,0.0000,-2.7712,183.9542,5.7784,-83.8081,5.4361,4.7300,8.7732,2.2350,0.0783,27.7803,39.0761,89.3103,-999.2500,-999.2500,-999.2500,155.9647,1.0000,76.6370
NA,251.0000,0.0000,0.0000,-2.8620,183.4234,5.8354,-83.8481,5.4519,4.7565,8.7741,2.2388,0.0791,27.5527,35.1633,91.3288,-999.2500,-999.2500,-999.2500,155.8499,0.0000,76.5558
NA,251.5000,0.0000,0.0000,-3.0081,182.5499,5.9194,-83.9800,5.4780,4.7979,8.7747,2.2428,0.0765,27.3188,33.4633,93.9792,-999.2500,-999.2500,-999.2500,155.7170,0.0000,76.4618
NA,252.0000,0.0000,0.0000,-3.1250,181.3576,5.9865,-84.1777,5.5140,4.8498,8.7739,2.2459,0.0719,27.1388,34.0174,95.5031,-999.2500,-999.2500,-999.2500,155.5714,0.0000,76.3588
NA,252.5000,0.0000,0.0000,-3.1453,179.7617,6.0412,-84.4171,5.5629,4.9102,8.7740,2.2476,0.0667,27.0401,34.9816,93.9641,-999.2500,-999.2500,-999.2500,155.4306,0.0000,76.2593
NA,253.0000,0.0000,0.0000,-3.0873,177.7477,6.0593,-84.6805,5.6260,4.9780,8.7748,2.2478,0.0612,27.0275,36.7326,92.5404,-999.2500,-999.2500,-999.2500,155.2913,0.0000,76.1607
NA,253.5000,0.0000,0.0000,-3.0364,175.5222,6.1155,-84.9530,5.6973,5.0486,8.7746,2.2463,0.0549,27.1178,39.6155,90.7727,-999.2500,-999.2500,-999.2500,155.1156,0.0000,76.0365
NA,254.0000,0.0000,0.0000,-3.0409,173.4736,6.2451,-85.2171,5.7646,5.1113,8.7743,2.2427,0.0486,27.3285,41.4741,86.1983,-999.2500,-999.2500,-999.2500,154.8789,0.0000,75.8691
NA,254.5000,0.0000,0.0000,-3.0338,171.9761,6.3686,-85.4511,5.8148,5.1529,8.7744,2.2378,0.0443,27.6165,41.2924,83.3061,-999.2500,-999.2500,-999.2500,154.6148,0.0000,75.6823
NA,255.0000,0.0000,0.0000,-2.8696,171.1285,6.4206,-85.6364,5.8436,5.1663,8.7747,2.2332,0.0439,27.8835,40.5887,86.5939,-999.2500,-999.2500,-999.2500,154.3980,0.0000,75.5290
NA,255.5000,0.0000,0.0000,-2.4712,170.7137,6.2939,-85.7653,5.8578,5.1551,8.7744,2.2300,0.0481,28.0681,39.0290,89.6196,-999.2500,-999.2500,-999.2500,154.2884,0.0000,75.4515
NA,256.0000,0.0000,0.0000,-1.9773,170.6129,6.0912,-85.8419,5.8612,5.1289,8.7752,2.2280,0.0555,28.1886,36.3884,88.4628,-999.2500,-999.2500,-999.2500,154.2930,0.0000,75.4547
