	transportmean_name	line_number	order_number	stop_id	stop_code	stop_name	stop_desc	stop_lat	stop_lon	zone_id	stop_url	location_type	parent_station	stop_timezone	wheelchair_boarding	metro_linked	ml_linked	cr_linked	accesible	parking
76	METRO	12	12_25	par_4_233	233	Casa del Reloj	Avda   Gibraltar 11	40.326612458027704	-3.75933029097596	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_233.aspx	0	est_4_233		2	No	No	No	Yes	No
77	METRO	12	12_19	par_4_227	227	 Juan de la Cierva	Avda de España 20	40.3118143782419	-3.7221524524738197	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_227.aspx	0	est_4_227		2	No	No	No	Yes	No
78	METRO	12	12_26	par_4_234	234	Hospital Severo Ochoa	Avda   Orellana 3	40.3217812127019	-3.76788021577265	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_234.aspx	0	est_4_234		2	No	No	No	Yes	No
79	METRO	12	12_27	par_4_235	235	Leganés Central	Calle  Virgen del Camino 1	40.3289917587751	-3.7714463012933903	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_235.aspx	0	est_4_235		2	No	No	C-5	Yes	No
80	METRO	12	12_23	par_4_231	231	El Carrascal	Avda   Rey Juan Carlos I 85	40.3366471390771	-3.7400882092389103	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_231.aspx	0	est_4_231		2	No	No	No	Yes	No
81	METRO	12	12_18	par_4_226	226	Getafe Central	Calle  Ferrocarril 2	40.3099383991867	-3.7339359948349	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_226.aspx	0	est_4_226		2	No	No	C-4	Yes	No
82	METRO	12	12_15	par_4_223	223	Arroyo Culebro	Paseo de Juan José Rosón 1	40.2887552818813	-3.7567299970465697	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_223.aspx	0	est_4_223		2	No	No	No	Yes	No
83	METRO	12	12_16	par_4_224	224	Conservatorio	Avda de las Arcas del Agua 5	40.2932595559415	-3.74567378255423	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_224.aspx	0	est_4_224		2	No	No	No	Yes	No
84	METRO	12	12_1	par_4_205	205	Puerta del Sur	Avda de la Libertad 2	40.345254627936704	-3.8120175031278904	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_205.aspx	0	est_4_205		2	10	No	No	Yes	No
85	METRO	12	12_3	par_4_211	211	Alcorcón Central	Avda de Móstoles 12	40.3500968782069	-3.8316812164219503	B1	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_211.aspx	0	est_4_211		2	No	No	C-5	Yes	No
86	METRO	12	12_13	par_4_221	221	Fuenlabrada Central	Calle de la Vía SN	40.2826885415632	-3.79881085809057	B2	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_221.aspx	0	est_4_221		2	No	No	C-5	Yes	No
87	METRO	12	12_12	par_4_220	220	Parque Europa	Calle de Francia 34	40.2851866721389	-3.80622799034627	B2	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_220.aspx	0	est_4_220		2	No	No	No	Yes	No
88	METRO	12	12_11	par_4_219	219	Hospital de Fuenlabrada	Cmno del Molino 3	40.28576450277	-3.81632835794833	B2	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_219.aspx	0	est_4_219		2	No	No	No	Yes	No
89	METRO	12	12_10	par_4_218	218	Loranca	Calle de la Alegría 4	40.296819813621894	-3.83759295120372	B2	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_218.aspx	0	est_4_218		2	No	No	No	Yes	No
90	METRO	12	12_9	par_4_217	217	Manuela Malasaña	Plaza   Sol de 9001 SN	40.309040633322	-3.86392772849615	B2	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_217.aspx	0	est_4_217		2	No	No	No	Yes	No
91	METRO	12	12_8	par_4_216	216	Hospital de Móstoles	Calle del Río Sella 10	40.3165369216206	-3.8746156400644303	B2	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_216.aspx	0	est_4_216		2	No	No	No	Yes	No
92	METRO	12	12_7	par_4_215	215	Pradillo	Calle de Agustina de Aragón 23	40.3216918515746	-3.86479520396452	B2	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_215.aspx	0	est_4_215		2	No	No	No	Yes	No
93	METRO	12	12_6	par_4_214	214	Móstoles Central	Paseo de la Estación 13	40.328512752360794	-3.8634461541551803	B2	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_214.aspx	0	est_4_214		2	No	No	C-5	Yes	No
94	METRO	12	12_5	par_4_213	213	Universidad Rey Juan Carlos	Calle   Tulipán 2	40.3351325965559	-3.8720891654036302	B2	http://www.crtm.es/tu-transporte-publico/metro/estaciones/4_213.aspx	0	est_4_213		2	No	No	No	Yes	No
