Date,Open,High,Low,Close,Adj Close,Volume
2008-09-30,2293.780029,2293.780029,1719.810059,1728.790039,1728.790039,0
2008-10-31,1719.770020,2030.479980,1706.699951,1871.160034,1871.160034,0
2008-11-30,1894.609985,2090.770020,1820.810059,1820.810059,1820.810059,0
2008-12-31,1880.719971,2004.949951,1863.369995,1990.660034,1990.660034,0
2009-01-31,2011.680054,2389.389893,2011.680054,2082.850098,2082.850098,0
2009-02-28,2093.449951,2374.439941,2071.429932,2373.209961,2373.209961,0
2009-03-31,2408.020020,2557.459961,2347.389893,2477.570068,2477.570068,0
2009-04-30,2477.570068,2676.679932,2477.570068,2632.929932,2632.929932,0
2009-05-31,2721.280029,2975.310059,2721.280029,2959.360107,2959.360107,0
2009-06-30,3008.149902,3438.370117,3008.149902,3412.060059,3412.060059,0
2009-07-31,3462.590088,3471.439941,2667.750000,2667.750000,2667.750000,0
2009-08-31,2683.719971,3060.260010,2683.719971,2779.429932,2779.429932,0
2009-09-30,2779.429932,3109.570068,2779.429932,2995.850098,2995.850098,0
2009-10-31,3076.649902,3338.659912,3076.649902,3195.300049,3195.300049,0
2009-11-30,3235.360107,3331.899902,3050.520020,3277.139893,3277.139893,0
2009-12-31,3243.760010,3282.179932,2986.610107,2989.290039,2989.290039,0
2010-01-31,2941.360107,3060.620117,2934.709961,3051.939941,3051.939941,0
2010-02-28,3087.840088,3128.469971,2976.939941,3109.100098,3109.100098,0
2010-03-31,3147.419922,3166.179932,2868.429932,2870.610107,2870.610107,0
2010-04-30,2870.610107,2870.610107,2555.939941,2592.149902,2592.149902,0
2010-05-31,2568.280029,2588.699951,2398.370117,2398.370117,2398.370117,0
2010-06-30,2373.790039,2648.120117,2363.949951,2637.500000,2637.500000,0
2010-07-31,2672.520020,2687.979980,2575.479980,2638.800049,2638.800049,0
2010-08-31,2622.879883,2698.360107,2588.709961,2655.659912,2655.659912,0
2010-09-30,2655.659912,3051.419922,2655.659912,2978.830078,2978.830078,0
2010-10-31,3054.020020,3159.510010,2820.179932,2820.179932,2820.179932,0
2010-11-30,2823.449951,2927.080078,2732.989990,2808.080078,2808.080078,0
2010-12-31,2808.080078,2852.649902,2677.429932,2790.689941,2790.689941,0
2011-01-31,2798.959961,2932.250000,2774.060059,2905.050049,2905.050049,0
2011-02-28,2918.919922,3002.149902,2896.260010,2928.110107,2928.110107,0
2011-03-31,2967.409912,3057.330078,2887.040039,2911.510010,2911.510010,0
2011-04-30,2932.189941,2932.189941,2706.360107,2743.469971,2743.469971,0
2011-05-31,2743.570068,2762.080078,2621.250000,2762.080078,2762.080078,0
2011-06-30,2759.360107,2820.169922,2688.750000,2701.729980,2701.729980,0
2011-07-31,2703.780029,2703.780029,2515.860107,2567.340088,2567.340088,0
2011-08-31,2556.040039,2556.040039,2359.219971,2359.219971,2359.219971,0
2011-09-30,2344.790039,2473.409912,2317.270020,2468.250000,2468.250000,0
2011-10-31,2470.020020,2529.760010,2333.409912,2333.409912,2333.409912,0
2011-11-30,2386.860107,2386.860107,2166.209961,2199.419922,2199.419922,0
2011-12-31,2169.389893,2319.120117,2148.449951,2292.610107,2292.610107,0
